strain,date,country,region,url,author,accession
PR/DB_172/2016,10/17/2016,Puerto Rico,North America,,?,MW122381
Homo_Sapiens/NIC/4203_CHB3157/2016,8/6/2016,Nicaragua,North America,,?,OK054458
Henan/001/2016,9/14/2016,Guatemala,North America,,Li et al C,MF593625
Homo_Sapiens/NIC/4521_CZB142/2016,7/29/2016,Nicaragua,North America,,?,OK054389
Homo_Sapiens/NIC/6739_CZB164/2016,7/27/2016,Nicaragua,North America,,?,OK054482
NIC/6188_13A1/2016,6/30/2016,Nicaragua,North America,,Shabman et al D,KY765326
PR/DB_885/2016,7/19/2016,Puerto Rico,North America,,?,MW122434
Homo_Sapiens/NIC/5541_CZB124/2016,8/19/2016,Nicaragua,North America,,?,OK054472
Homo_Sapiens/NIC/7083_CHB3155/2016,8/20/2016,Nicaragua,North America,,?,OK054408
Homo_Sapiens/NIC/5072_CHB3151/2016,7/15/2016,Nicaragua,North America,,?,OK054393
Homo_Sapiens/NIC/7706_CZB180/2016,8/12/2016,Nicaragua,North America,,?,OK054434
HND/2016/HU_ME180,6/13/2016,Honduras,North America,,Metsky et al (https://www.ncbi.nlm.nih.gov/pubmed/28538734),KY785431
MEX/42_007_F_V3_O/2016,7/29/2016,Mexico,North America,,Tan et al A,MH157211
MEX/2016/mex32,7/5/2016,Mexico,North America,,Theze et al B,MF801410
HND/2016/HU_ME59,5/13/2016,Honduras,North America,,Metsky et al (https://www.ncbi.nlm.nih.gov/pubmed/28538734),KY785418
HND/2016/HU_ME152,6/6/2016,Honduras,North America,,Metsky et al (https://www.ncbi.nlm.nih.gov/pubmed/28538734),KY014315
FHT1175/HON/2016,8/26/2016,Honduras,North America,,Leguia et al B,KY693677
NIC/5005_13A1/2016,4/22/2016,Nicaragua,North America,,Shabman et al D,KY765327
Homo_Sapiens/NIC/5005_CHB3149/2016,4/22/2016,Nicaragua,North America,,?,OK054470
NIC/5847_12B1/2016,2/7/2016,Nicaragua,North America,,Theze et al A,MF434520
HND/2016/HU_ME50,5/12/2016,Honduras,North America,,Metsky et al (https://www.ncbi.nlm.nih.gov/pubmed/28538734),KY014311
HND/2016/HU_ME178,6/10/2016,Honduras,North America,,Metsky et al (https://www.ncbi.nlm.nih.gov/pubmed/28538734),KY014306
HND/2016/HU_ME167,6/9/2016,Honduras,North America,,Metsky et al (https://www.ncbi.nlm.nih.gov/pubmed/28538734),KY014327
Homo_Sapiens/NIC/8155_CHB3164/2016,7/26/2016,Nicaragua,North America,,?,OK054448
Homo_Sapiens/NIC/4394_CHB3161/2016,10/11/2016,Nicaragua,North America,,?,OK054387
Homo_Sapiens/NIC/5575_CZB149/2016,8/4/2016,Nicaragua,North America,,?,OK054431
Homo_Sapiens/NIC/5660_CZB134/2016,7/27/2016,Nicaragua,North America,,?,OK054462
Homo_Sapiens/NIC/8065_CHB3163/2016,7/25/2016,Nicaragua,North America,,?,OK054416
Homo_Sapiens/NIC/7673_CZB156/2016,7/29/2016,Nicaragua,North America,,?,OK054433
Homo_Sapiens/NIC/8186_CHB3165/2016,8/5/2016,Nicaragua,North America,,?,OK054437
Homo_Sapiens/NIC/8079_CZH181/2016,9/8/2016,Nicaragua,North America,,?,OK054417
PR/DB_723/2016,10/6/2016,Puerto Rico,North America,,?,MW122423
HND/2016/Honduras_1055,2/12/2016,Honduras,North America,,Theze et al B,MF801385
HN16,5/15/2016,Honduras,North America,,Murray et al (https://www.ncbi.nlm.nih.gov/pubmed/27748649),KY328289
HND/2016/HU_ME156,6/7/2016,Honduras,North America,,Metsky et al (https://www.ncbi.nlm.nih.gov/pubmed/28538734),KY785452
HND/2016/HU_ME58,5/13/2016,Honduras,North America,,Metsky et al (https://www.ncbi.nlm.nih.gov/pubmed/28538734),KY014312
PR/DB_455/2016,9/15/2016,Puerto Rico,North America,,?,MW122401
PR/DB_552/2016,10/20/2016,Puerto Rico,North America,,?,MW122409
PR/DB_787/2016,8/23/2016,Puerto Rico,North America,,?,MW122427
PR/DB_375/2017,1/19/2017,Puerto Rico,North America,,?,MW122452
PR/DB_270/2016,10/11/2016,Puerto Rico,North America,,?,MW122390
PR/DB_1034/2017,1/19/2017,Puerto Rico,North America,,?,MW122455
PR/DB_266/2016,10/31/2016,Puerto Rico,North America,,?,MW122388
PR/DB_599/2017,1/20/2017,Puerto Rico,North America,,?,MW122415
PR/DB_323/2016,8/11/2016,Puerto Rico,North America,,?,MW122396
PR/DB_461/2016,7/27/2016,Puerto Rico,North America,,?,MW122453
PR/DB_588/2016,12/11/2016,Puerto Rico,North America,,?,MW122413
PR/DB_1020/2017,1/10/2017,Puerto Rico,North America,,?,MW122450
HND/2016/HU_ME42,5/9/2016,Honduras,North America,,Metsky et al (https://www.ncbi.nlm.nih.gov/pubmed/28538734),KY014310
HND/2016/HU_ME38,4/30/2016,Honduras,North America,,Metsky et al (https://www.ncbi.nlm.nih.gov/pubmed/28538734),KY014319
HND/2016/HU_ME147,6/4/2016,Honduras,North America,,Metsky et al (https://www.ncbi.nlm.nih.gov/pubmed/28538734),KY785442
HND/2016/HU_ME33,4/28/2016,Honduras,North America,,Metsky et al (https://www.ncbi.nlm.nih.gov/pubmed/28538734),KY785416
QTX_02,2016-08-31 (2016-08-05 - 2016-08-31),Puerto Rico,North America,,Assis et al,MH675629
QTX_04,2016-09-01 (2016-09-01 - 2016-09-26),Usa,North America,,Assis et al,MH675630
NIC/6547_13A1/2016,7/19/2016,Nicaragua,North America,,Theze et al A,MF434521
Homo_Sapiens/NIC/3758_CZH218/2016,7/13/2016,Nicaragua,North America,,?,OK054440
Homo_Sapiens/NIC/6709_CZH165/2016,10/3/2016,Nicaragua,North America,,?,OK054370
Homo_Sapiens/NIC/6228_CZB222/2016,8/21/2016,Nicaragua,North America,,?,OK054478
Homo_Sapiens/NIC/6253_CZB221/2016,8/8/2016,Nicaragua,North America,,?,OK054479
Homo_Sapiens/NIC/5802_CZB229/2016,9/2/2016,Nicaragua,North America,,?,OK054474
Homo_Sapiens/NIC/6661_CZB218/2016,8/1/2016,Nicaragua,North America,,?,OK054404
Homo_Sapiens/NIC/5605_CZB228/2016,7/4/2016,Nicaragua,North America,,?,OK054473
Homo_Sapiens/NIC/5540_CZB226/2016,8/15/2016,Nicaragua,North America,,?,OK054443
Homo_Sapiens/NIC/6316_CZB219/2016,9/29/2016,Nicaragua,North America,,?,OK054403
Homo_Sapiens/NIC/5604_CZB227/2016,2/7/2016,Nicaragua,North America,,?,OK054444
Homo_Sapiens/NIC/6284_CZB220/2016,8/23/2016,Nicaragua,North America,,?,OK054480
Homo_Sapiens/NIC/9262_CZB213/2016,7/25/2016,Nicaragua,North America,,?,OK054424
Homo_Sapiens/NIC/4825_CHB3144/2016,7/12/2016,Nicaragua,North America,,?,OK054465
Homo_Sapiens/NIC/5406_CZB146/2016,8/2/2016,Nicaragua,North America,,?,OK054429
NIC/7252_12A1/2016,6/29/2016,Nicaragua,North America,,Shabman et al D,KY765317
Homo_Sapiens/NIC/150_CZH161/2016,9/7/2016,Nicaragua,North America,,?,OK054425
Homo_Sapiens/NIC/9467_CZB207/2016,7/23/2016,Nicaragua,North America,,?,OK054487
NIC/4886_12A1/2016,7/10/2016,Nicaragua,North America,,Shabman et al D,KY765321
Homo_Sapiens/NIC/4886_CZB170/2016,7/10/2016,Nicaragua,North America,,?,OK054469
Homo_Sapiens/NIC/4858_CZB168/2016,7/13/2016,Nicaragua,North America,,?,OK054466
Homo_Sapiens/NIC/5894_CZB175/2016,7/13/2016,Nicaragua,North America,,?,OK054399
Homo_Sapiens/NIC/6173_CHB3162/2016,8/19/2016,Nicaragua,North America,,?,OK054446
Homo_Sapiens/NIC/7550_CZB154/2016,7/25/2016,Nicaragua,North America,,?,OK054414
