strain,date,country,region,url,author,accession
BRA/2016/ZKV17Nsem_2016_07_27,7/27/2016,Brazil,South America,,Oliveira et al (https://www.ncbi.nlm.nih.gov/pubmed/30405055),MH882540
BRA/2016/ZKV17Msem_2016_07_19,7/19/2016,Brazil,South America,,Oliveira et al (https://www.ncbi.nlm.nih.gov/pubmed/30405055),MH882539
BRA/2016/ZKV17Lsem_2016_07_12,7/12/2016,Brazil,South America,,Oliveira et al (https://www.ncbi.nlm.nih.gov/pubmed/30405055),MH882538
V15261,6/1/2015,Brazil,South America,,Strottmann et al,MF073358
Brazil/16321,3/22/2016,Brazil,South America,,Oh et al,KY120352
Brazil/2015/ZBRA105,2/23/2015,Brazil,South America,,Faria et al B (https://www.ncbi.nlm.nih.gov/pubmed/28538727),KY558989
Saint_Barthelemi_Rus_6BRN_2016,7/25/2016,Saint Barthelemy,North America,,Karan et al,MF098767
V100816,3/18/2016,Brazil,South America,,?,MT439645
Brazil/2016/ZBRY4,1/15/2016,Brazil,South America,,Faria et al A,KY559026
Brazil/2016/ZBRY11,2016-01-01 (2016-01-01 - 2016-01-28),Brazil,South America,,Faria et al A,KY559029
Brazil/2016/ZBRY14,2016-01-31 (2016-01-01 - 2016-01-31),Brazil,South America,,Faria et al B (https://www.ncbi.nlm.nih.gov/pubmed/28538727),KY817930
DOM/2016/BB_0216,4/21/2016,Dominican Republic,North America,,Metsky et al (https://www.ncbi.nlm.nih.gov/pubmed/28538734),KY014302
DOM/2016/BB_0180,4/18/2016,Dominican Republic,North America,,Metsky et al (https://www.ncbi.nlm.nih.gov/pubmed/28538734),KY014304
DOM/2016/BB_0071,4/5/2016,Dominican Republic,North America,,Metsky et al (https://www.ncbi.nlm.nih.gov/pubmed/28538734),KY785449
Cuba/2018_01_18/FL257U,1/18/2018,Cuba,North America,,Grubaugh et al A (https://www.ncbi.nlm.nih.gov/pubmed/31442400),MK560179
DOM/2016/BB_0433,6/13/2016,Dominican Republic,North America,,Metsky et al (https://www.ncbi.nlm.nih.gov/pubmed/28538734),KY785441
Cuba_2017,2/12/2017,Cuba,North America,,Lasala-Sanchez et al,MF438286
Cuba/2017/FL055Se,8/13/2017,Cuba,North America,,Grubaugh et al A (https://www.ncbi.nlm.nih.gov/pubmed/31442400),MH063264
Cuba/2017/FL047U,8/8/2017,Cuba,North America,,Grubaugh et al A (https://www.ncbi.nlm.nih.gov/pubmed/31442400),MH063260
DOM/2016/BB_0091,4/7/2016,Dominican Republic,North America,,Metsky et al (https://www.ncbi.nlm.nih.gov/pubmed/28538734),KY785475
PR/DB_611/2016,6/4/2016,Puerto Rico,North America,,?,MW122416
DOM/2016/MA_WGS16_013,6/15/2016,Dominican Republic,North America,,Metsky et al (https://www.ncbi.nlm.nih.gov/pubmed/28538734),KY785473
Dominican_Republic/2016/ZB,8/25/2016,Dominican Republic,North America,,Prilipov et al,MF664436
Dominican_Rep_Rus_8ZBR_2016,8/25/2016,Dominican Republic,North America,,Karan et al,MF098769
Dominican_Rep_Rus_7EGR_2016,8/25/2016,Dominican Republic,North America,,Karan et al,MF098768
DOM/2016/BB_0436,6/14/2016,Dominican Republic,North America,,Metsky et al (https://www.ncbi.nlm.nih.gov/pubmed/28538734),KY014314
DOM/2016/BB_0115,4/11/2016,Dominican Republic,North America,,Metsky et al (https://www.ncbi.nlm.nih.gov/pubmed/28538734),KY014321
DOM/2016/MA_WGS16_014,6/18/2016,Dominican Republic,North America,,Metsky et al (https://www.ncbi.nlm.nih.gov/pubmed/28538734),KY785470
PHE_Guadeloupe,4/21/2016,Guadeloupe,North America,,Atkinson et al,KX673530
mosquito/Haiti/1855/2016,6/27/2016,Haiti,North America,,White et al,MF783072
Haiti/0395/2016,5/31/2016,Haiti,North America,,?,MN566106
Haiti/0866/2016,5/31/2016,Haiti,North America,,?,MN566108
Haiti/0375/2016,5/31/2016,Haiti,North America,,?,MN566105
Haiti/0165/2016,5/31/2016,Haiti,North America,,?,MN566107
Haiti/0011/2016,5/31/2016,Haiti,North America,,?,MN566104
Dominican_Republic/2016/PD1,2/1/2016,Dominican Republic,North America,,Barzon et al A (https://www.ncbi.nlm.nih.gov/pubmed/26987769),KU853012
USA/2016/FL039,8/17/2016,Usa,North America,,Grubaugh et al B (https://www.ncbi.nlm.nih.gov/pubmed/28538723),KX922707
DOM/2016/BB_0183,4/18/2016,Dominican Republic,North America,,Metsky et al (https://www.ncbi.nlm.nih.gov/pubmed/28538734),KY785420
DOM/2016/BB_0269,4/27/2016,Dominican Republic,North America,,Metsky et al (https://www.ncbi.nlm.nih.gov/pubmed/28538734),KY014318
JAM/2016/WI_JM6,6/13/2016,Jamaica,North America,,Metsky et al (https://www.ncbi.nlm.nih.gov/pubmed/28538734),KY785419
USVI/41/2016,11/10/2016,Usvi,North America,,Black et al A,VI41
USVI/19/2016,11/21/2016,Usvi,North America,,Black et al A,VI19_12plex
USVI/42/2016,10/26/2016,Usvi,North America,,Black et al A,VI42
USVI/28/2016,11/28/2016,Usvi,North America,,Black et al A,VI28_1d
PR/DB_799/2016,9/15/2016,Puerto Rico,North America,,?,MW122428
DOM/2016/BB_0076,4/5/2016,Dominican Republic,North America,,Metsky et al (https://www.ncbi.nlm.nih.gov/pubmed/28538734),KY014305
Dominican_Rep_Rus_3ALT_2016,5/11/2016,Dominican Republic,North America,,Karan et al,MF098764
DOM/2016/MA_WGS16_036,9/22/2016,Dominican Republic,North America,,Metsky et al (https://www.ncbi.nlm.nih.gov/pubmed/28538734),KY785447
DOM/2016/MA_WGS16_040,10/6/2016,Dominican Republic,North America,,Metsky et al (https://www.ncbi.nlm.nih.gov/pubmed/28538734),KY785413
Yokohama/1/2016,5/20/2016,Japan,Japan Korea,,Ozawa et al,LC190723
Dominican_Rep_Rus_5RMN_2016,5/31/2016,Dominican Republic,North America,,Karan et al,MF098766
DOM/2016/MA_WGS16_024,7/7/2016,Dominican Republic,North America,,Metsky et al (https://www.ncbi.nlm.nih.gov/pubmed/28538734),KY785435
DOM/2016/MA_WGS16_011,6/6/2016,Dominican Republic,North America,,Metsky et al (https://www.ncbi.nlm.nih.gov/pubmed/28538734),KY785484
Cuba/2017/FL049U,9/24/2017,Cuba,North America,,Grubaugh et al A (https://www.ncbi.nlm.nih.gov/pubmed/31442400),MH063261
Haiti/2016/PD,2/1/2016,Haiti,North America,,Barzon et al B (https://www.ncbi.nlm.nih.gov/pubmed/27542178),KX269878
JAM/2016/MA_WGS16_039,9/28/2016,Jamaica,North America,,Metsky et al (https://www.ncbi.nlm.nih.gov/pubmed/28538734),KY785430
DOM/2016/BB_0208,4/20/2016,Dominican Republic,North America,,Metsky et al (https://www.ncbi.nlm.nih.gov/pubmed/28538734),KY014300
DOM/2016/MA_WGS16_007,5/10/2016,Dominican Republic,North America,,Metsky et al (https://www.ncbi.nlm.nih.gov/pubmed/28538734),KY785453
USA/2016/FLUR011,8/8/2016,Usa,North America,,Grubaugh et al B (https://www.ncbi.nlm.nih.gov/pubmed/28538723),KY325471
USA/2016/FLSR036,9/19/2016,Usa,North America,,Grubaugh et al B (https://www.ncbi.nlm.nih.gov/pubmed/28538723),KY325464
USA/2016/FLUR058,10/11/2016,Usa,North America,,Grubaugh et al B (https://www.ncbi.nlm.nih.gov/pubmed/28538723),KY325476
USA/2016/FLUR026,9/13/2016,Usa,North America,,Grubaugh et al B (https://www.ncbi.nlm.nih.gov/pubmed/28538723),KY325474
Aedes_aegypti/USA/2016/FL05,9/9/2016,Usa,North America,,Grubaugh et al B (https://www.ncbi.nlm.nih.gov/pubmed/28538723),KY075937
USA/2016/FLUR014,8/24/2016,Usa,North America,,Ladner et al,KY325482
USA/2016/FLUR022,8/31/2016,Usa,North America,,Grubaugh et al B (https://www.ncbi.nlm.nih.gov/pubmed/28538723),KY325473
Aedes_aegypti/USA/2016/FL03,8/23/2016,Usa,North America,,Grubaugh et al B (https://www.ncbi.nlm.nih.gov/pubmed/28538723),KX838906
USA/2016/FL032,8/5/2016,Usa,North America,,Grubaugh et al B (https://www.ncbi.nlm.nih.gov/pubmed/28538723),KX922705
Aedes_aegypti/USA/2016/FL04,9/4/2016,Usa,North America,,Grubaugh et al B (https://www.ncbi.nlm.nih.gov/pubmed/28538723),KX922708
