strain,date,country,region,url,author,accession
London.GBR/28.12/D8,2012-07-01 (2012-07-01 - 2012-07-28),United Kingdom,Europe,,Penedos et al (https://www.ncbi.nlm.nih.gov/pubmed/26569100),KT732232
Muenchen.DEU/19.13/D8,5/10/2013,Germany,Europe,,Sparrer et al (https://www.ncbi.nlm.nih.gov/pubmed/24744323),KJ410048
DongThap.VNM/08.14/D8,8/29/2014,Vietnam,Southeast Asia,,Oude Munnink et al (https://www.ncbi.nlm.nih.gov/pubmed/27081130),KU728743
DongThap.VNM/06.14/D8,6/25/2014,Vietnam,Southeast Asia,,Oude Munnink et al (https://www.ncbi.nlm.nih.gov/pubmed/27081130),KU728742
DongThap.VNM/06.14/2/D8,6/7/2014,Vietnam,Southeast Asia,,Lu et al,MK142915
DongThap.VNM/05.14/D8,5/3/2014,Vietnam,Southeast Asia,,Lu et al,MK142914
DongThap.VNM/07.14/D8,7/14/2014,Vietnam,Southeast Asia,,Lu et al,MK142916
Derby.GBR/47.12/D8,2012-11-01 (2012-11-01 - 2012-11-30),United Kingdom,Europe,,Penedos et al (https://www.ncbi.nlm.nih.gov/pubmed/26569100),KT732241
Sheffield.GBR/32.12/D8,2012-08-01 (2012-08-01 - 2012-08-28),United Kingdom,Europe,,Penedos et al (https://www.ncbi.nlm.nih.gov/pubmed/26569100),KT732233
Sheffield.GBR/32.12/3/D8,2012-08-03 (2012-08-01 - 2012-08-31),United Kingdom,Europe,,Penedos et al (https://www.ncbi.nlm.nih.gov/pubmed/26569100),KT732234
Gloucester.GBR/46.12/2/D8,2012-11-19 (2012-11-01 - 2012-11-30),United Kingdom,Europe,,Penedos et al (https://www.ncbi.nlm.nih.gov/pubmed/26569100),KT732238
Gloucester.GBR/46.12/D8,2012-11-19 (2012-11-01 - 2012-11-30),United Kingdom,Europe,,Penedos et al (https://www.ncbi.nlm.nih.gov/pubmed/26569100),KT732237
Hull.GBR/47.12/D8,2012-11-14 (2012-11-01 - 2012-11-30),United Kingdom,Europe,,Penedos et al (https://www.ncbi.nlm.nih.gov/pubmed/26569100),KT732240
Teeside.GBR/9.13/5/D8,2013-02-28 (2013-02-04 - 2013-02-28),United Kingdom,Europe,,Penedos et al (https://www.ncbi.nlm.nih.gov/pubmed/26569100),KT732243
Teeside.GBR/9.13/4/D8,2013-02-01 (2013-02-01 - 2013-02-26),United Kingdom,Europe,,Penedos et al (https://www.ncbi.nlm.nih.gov/pubmed/26569100),KT732246
NewcastleuponTyne.GBR/16.13/D8,2013-04-01 (2013-04-01 - 2013-04-27),United Kingdom,Europe,,Penedos et al (https://www.ncbi.nlm.nih.gov/pubmed/26569100),KT732254
Lincoln.GBR/15.13/D8,2013-04-01 (2013-04-01 - 2013-04-28),United Kingdom,Europe,,Penedos et al (https://www.ncbi.nlm.nih.gov/pubmed/26569100),KT732256
Teeside.GBR/9.13/3/D8,2013-02-28 (2013-02-05 - 2013-02-28),United Kingdom,Europe,,Penedos et al (https://www.ncbi.nlm.nih.gov/pubmed/26569100),KT732244
Teeside.GBR/18.13/2/D8,2013-05-06 (2013-05-01 - 2013-05-31),United Kingdom,Europe,,Penedos et al (https://www.ncbi.nlm.nih.gov/pubmed/26569100),KT732258
Teeside.GBR/16.13/6/D8,2013-04-01 (2013-04-01 - 2013-04-27),United Kingdom,Europe,,Penedos et al (https://www.ncbi.nlm.nih.gov/pubmed/26569100),KT732253
Coventry.GBR/42.12/2/D8,2012-10-01 (2012-10-01 - 2012-10-31),United Kingdom,Europe,,Penedos et al (https://www.ncbi.nlm.nih.gov/pubmed/26569100),KT732236
Coventry.GBR/40.12/D8,2012-10-01 (2012-10-01 - 2012-10-31),United Kingdom,Europe,,Penedos et al (https://www.ncbi.nlm.nih.gov/pubmed/26569100),KT732235
Manchester.GBR/30.13/D8,2013-07-31 (2013-07-04 - 2013-07-31),United Kingdom,Europe,,Penedos et al (https://www.ncbi.nlm.nih.gov/pubmed/26569100),KT732261
Dodewaard.NLD/29.13/D8,2013-09-07 (2013-01-01 - 2013-12-31),Netherlands,Europe,,Phan et al,MG912592
London.GBR/20.13/2/D8,2013-05-31 (2013-05-05 - 2013-05-31),United Kingdom,Europe,,Penedos et al (https://www.ncbi.nlm.nih.gov/pubmed/26569100),KT732260
London.GBR/21.13/D8,2013-05-01 (2013-05-01 - 2013-05-27),United Kingdom,Europe,,Penedos et al (https://www.ncbi.nlm.nih.gov/pubmed/26569100),KT732259
Crewe.GBR/46.12/D8,2012-11-30 (2012-11-01 - 2012-11-30),United Kingdom,Europe,,Penedos et al (https://www.ncbi.nlm.nih.gov/pubmed/26569100),KT732239
Exeter.GBR/52.12/D8,2012-12-01 (2012-12-01 - 2012-12-27),United Kingdom,Europe,,Penedos et al (https://www.ncbi.nlm.nih.gov/pubmed/26569100),KT732242
Swansea.GBR/16.13/5/D8,2013-04-06 (2013-04-01 - 2013-04-30),United Kingdom,Europe,,Penedos et al (https://www.ncbi.nlm.nih.gov/pubmed/26569100),KT732255
Swansea.GBR/9.13/D8,2013-02-28 (2013-02-06 - 2013-02-28),United Kingdom,Europe,,Penedos et al (https://www.ncbi.nlm.nih.gov/pubmed/26569100),KT732245
Swansea.GBR/13.13/4/D8,2013-03-01 (2013-03-01 - 2013-03-27),United Kingdom,Europe,,Penedos et al (https://www.ncbi.nlm.nih.gov/pubmed/26569100),KT732248
Swansea.GBR/10.13/D8,2013-03-01 (2013-03-01 - 2013-03-28),United Kingdom,Europe,,Penedos et al (https://www.ncbi.nlm.nih.gov/pubmed/26569100),KT732247
Taunton.GBR/15.13/D8,2013-04-07 (2013-04-01 - 2013-04-30),United Kingdom,Europe,,Penedos et al (https://www.ncbi.nlm.nih.gov/pubmed/26569100),KT732252
Swansea.GBR/16.13/2/D8,2013-04-01 (2013-04-01 - 2013-04-26),United Kingdom,Europe,,Penedos et al (https://www.ncbi.nlm.nih.gov/pubmed/26569100),KT732251
Swansea.GBR/15.13/D8,2013-04-12 (2013-04-01 - 2013-04-30),United Kingdom,Europe,,Penedos et al (https://www.ncbi.nlm.nih.gov/pubmed/26569100),KT732249
Swansea.GBR/17.13/9/D8,2013-04-24 (2013-04-01 - 2013-04-30),United Kingdom,Europe,,Penedos et al (https://www.ncbi.nlm.nih.gov/pubmed/26569100),KT732257
Swansea.GBR/14.13/4/D8,2013-04-24 (2013-04-01 - 2013-04-30),United Kingdom,Europe,,Penedos et al (https://www.ncbi.nlm.nih.gov/pubmed/26569100),KT732250
NewDelhi.IND/26.14/D8,6/25/2014,India,South Asia,,Vaidya et al,MN125026
Virginia.USA/15.09,4/9/2009,Usa,North America,,Kirkness et al,JN635404
Kanpur.IND/16.14/D8,2/17/2014,India,South Asia,,Vaidya et al,MN125025
Gr.Mumbai.IND/01.15/D8,12/30/2014,India,South Asia,,Vaidya et al,MN125022
California.USA/49.10/D8,12/3/2010,Usa,North America,,Espinosa et al A,KY969480
Faridabad.IND/22.14/D8,5/30/2014,India,South Asia,,Vaidya et al,MN125029
London.GBR/22.12/3/D8,2012-05-01 (2012-05-01 - 2012-05-28),United Kingdom,Europe,,Penedos et al (https://www.ncbi.nlm.nih.gov/pubmed/26569100),KT732231
Panna.IND/28.15,7/19/2015,India,South Asia,,Vaidya et al,MN125020
Changwon.KOR/39.16/2/D8,2016-09-01 (2016-09-01 - 2016-09-27),South Korea,Japan Korea,,Kang et al,MF496202
Brisbane.AUS/33.15/D8,2015-04-29 (2015-01-01 - 2015-12-31),Australia,Oceania,,Huang et al,MH638233
Geoje.KOR/41.16/D8,2016-10-01 (2016-10-01 - 2016-10-28),South Korea,Japan Korea,,Kang et al,MF496201
Roraima.BRA/31.18/D8,8/4/2018,Brazil,South America,,Meneses et al (https://www.ncbi.nlm.nih.gov/pubmed/30892375),MK161348
California.USA/29.19/D8,2019-08-06 (2019-01-01 - 2019-12-31),Usa,North America,,Probert et al,MT789841
Palmerston_North.NZL/5.17/2/D8,2/3/2017,New Zealand,Oceania,,Dilcher et al,MH631015
Seoul.KOR/37.16/D8,2016-09-05 (2016-09-01 - 2016-09-30),South Korea,Japan Korea,,Kang et al,MF496200
Queenstown.NZL/41.16/D8,10/31/2016,New Zealand,Oceania,,Dilcher et al,MH631016
Ancona.ITA/45.17/1/D8,2017-11-30 (2017-11-04 - 2017-11-30),Italy,Europe,,Marinelli et al,MH173047
California.USA/38.19/D8,2019-01-24 (2019-01-01 - 2019-12-31),Usa,North America,,Probert et al,MT789845
California.USA/40.19/D8,2019-12-31 (2019-05-07 - 2019-12-31),Usa,North America,,Probert et al,MT789846
Verona.ITA/19.17/2/D8,2017-05-31 (2017-05-05 - 2017-05-31),Italy,Europe,,Pacenti et al (https://www.ncbi.nlm.nih.gov/pubmed/31795157),MK513626
Venezia.ITA/22.17/3/D8,2017-05-01 (2017-05-01 - 2017-05-28),Italy,Europe,,Pacenti et al (https://www.ncbi.nlm.nih.gov/pubmed/31795157),MK513627
Padova.ITA/13.17/1/D8,2017-03-31 (2017-03-04 - 2017-03-31),Italy,Europe,,Pacenti et al (https://www.ncbi.nlm.nih.gov/pubmed/31795157),MK513623
Padova.ITA/14.17/3/D8,2017-04-22 (2017-04-01 - 2017-04-30),Italy,Europe,,Pacenti et al (https://www.ncbi.nlm.nih.gov/pubmed/31795157),MK513625
Padova.ITA/14.17/2/D8,2017-04-01 (2017-04-01 - 2017-04-26),Italy,Europe,,Pacenti et al (https://www.ncbi.nlm.nih.gov/pubmed/31795157),MK513624
California.USA/15.19/2/D8,2019-01-01 (2019-01-01 - 2019-10-14),Usa,North America,,Probert et al,MT789822
California.USA/31.19/D8,2019-10-21 (2019-01-01 - 2019-12-31),Usa,North America,,Probert et al,MT789843
California.USA/25.19/D8,2019-07-22 (2019-01-01 - 2019-12-31),Usa,North America,,Probert et al,MT789835
California.USA/25.19/2/D8,2019-04-26 (2019-01-01 - 2019-12-31),Usa,North America,,Probert et al,MT789836
Jiangxi.CHN/13.19/1,4/3/2019,China,China,,Jun et al,MT350232
California.USA/26.19/D8,2019-12-25 (2019-01-01 - 2019-12-31),Usa,North America,,Probert et al,MT789837
